InvoiceID,UsageDate,ServiceName,ResourceType,Region,Cost,UsageQuantity,LinkedAccount
INV-2964,2025-07-19,S3,Database,us-west-2,52.42,63.39,18839
INV-6151,2025-07-19,CloudFront,Networking,ap-south-1,11.5,9.12,42535
INV-6700,2025-07-19,RDS,Compute,us-east-1,10.3,32.15,30352
INV-6889,2025-07-19,CloudFront,Compute,eu-west-1,3.78,4.17,19169
INV-6690,2025-07-19,ECS,Networking,us-west-2,5.02,67.79,28641
INV-3204,2025-07-19,CloudFront,Compute,ap-south-1,19.4,51.26,55999
INV-9518,2025-07-19,Lambda,Compute,eu-west-1,19.55,64.55,86039
INV-6398,2025-07-19,Lambda,Storage,eu-west-1,42.22,69.12,85351
INV-8839,2025-07-19,ECS,Networking,eu-west-1,23.36,93.68,94682
INV-8211,2025-07-19,EC2,Compute,us-east-1,7.33,34.17,26732
INV-6526,2025-07-19,S3,Networking,ap-south-1,122.27,92.48,75333
INV-5087,2025-07-19,Lambda,Storage,us-west-2,26.05,25.87,73918
INV-6252,2025-07-19,RDS,Database,ap-south-1,69.89,81.74,33138
INV-3783,2025-07-19,S3,Compute,us-west-2,21.24,53.01,55944
INV-9741,2025-07-19,ECS,Storage,us-west-2,12.7,9.4,82666
INV-1793,2025-07-19,Lambda,Storage,us-west-2,87.17,90.05,12924
INV-5170,2025-07-19,Lambda,Database,us-east-1,18.9,33.97,51484
INV-1131,2025-07-19,S3,Storage,ap-south-1,98.1,72.62,23889
INV-7036,2025-07-20,RDS,Networking,eu-west-1,104.76,88.72,70596
INV-5425,2025-07-20,EBS,Compute,eu-west-1,11.05,64.24,39279
INV-4809,2025-07-20,EBS,Compute,us-east-1,21.98,16.25,94953
INV-8773,2025-07-20,S3,Networking,us-east-1,3.84,60.68,34289
INV-4898,2025-07-20,CloudFront,Storage,us-east-1,10.36,10.24,75734
INV-2989,2025-07-20,ECS,Networking,us-west-2,0.17,0.61,31466
INV-6438,2025-07-20,EBS,Networking,us-west-2,57.84,54.92,40256
INV-5979,2025-07-20,S3,Compute,us-east-1,24.47,65.23,31333
INV-7548,2025-07-20,S3,Database,ap-south-1,28.07,71.25,44523
INV-2191,2025-07-20,EBS,Networking,us-west-2,36.93,32.61,34847
INV-6831,2025-07-20,EC2,Compute,eu-west-1,83.29,65.0,33416
INV-6522,2025-07-20,ECS,Storage,eu-west-1,57.51,65.8,96513
INV-2984,2025-07-20,ECS,Storage,eu-west-1,5.52,9.46,79577
INV-5896,2025-07-20,EBS,Compute,ap-south-1,10.74,26.59,24148
INV-5769,2025-07-20,S3,Storage,us-east-1,60.33,97.3,62422
INV-1968,2025-07-20,RDS,Storage,us-east-1,86.11,89.22,32891
INV-8574,2025-07-20,Lambda,Database,ap-south-1,61.92,79.5,96382
INV-2634,2025-07-20,EBS,Networking,ap-south-1,44.11,57.73,63369
INV-6264,2025-07-20,S3,Networking,us-west-2,21.51,19.6,61248
INV-6732,2025-07-20,CloudFront,Compute,eu-west-1,2.4,28.15,59042
INV-7357,2025-07-20,EC2,Database,ap-south-1,19.81,64.58,25030
INV-7186,2025-07-20,Lambda,Database,us-west-2,134.79,94.05,34038
INV-2585,2025-07-20,ECS,Database,us-west-2,53.68,91.49,84942
INV-5546,2025-07-20,EC2,Storage,ap-south-1,2.29,1.64,98293
INV-9391,2025-07-20,ECS,Database,ap-south-1,62.25,42.88,92340
INV-2654,2025-07-20,Lambda,Networking,ap-south-1,124.02,96.37,13844
INV-4636,2025-07-20,RDS,Storage,us-west-2,17.96,29.52,45946
INV-2504,2025-07-20,CloudFront,Storage,ap-south-1,43.38,85.13,54970
INV-1721,2025-07-20,S3,Storage,ap-south-1,14.6,17.03,68078
INV-5212,2025-07-21,ECS,Networking,ap-south-1,99.17,93.62,87267
INV-9945,2025-07-21,CloudFront,Storage,ap-south-1,10.89,57.05,49550
INV-6835,2025-07-21,RDS,Networking,us-east-1,91.42,61.54,15989
INV-9306,2025-07-21,Lambda,Networking,ap-south-1,11.29,14.09,60149
INV-9342,2025-07-21,S3,Compute,ap-south-1,98.64,87.75,39047
INV-3038,2025-07-21,Lambda,Database,ap-south-1,74.51,69.73,51165
INV-4608,2025-07-21,EBS,Storage,eu-west-1,17.13,36.01,35268
INV-1468,2025-07-21,EBS,Networking,ap-south-1,99.15,80.96,56393
INV-7471,2025-07-21,RDS,Networking,ap-south-1,119.17,86.72,54311
INV-5197,2025-07-21,S3,Compute,us-west-2,39.78,51.18,35160
INV-8116,2025-07-21,CloudFront,Networking,eu-west-1,79.25,79.85,34222
INV-5275,2025-07-21,ECS,Database,ap-south-1,84.55,70.23,90171
INV-3443,2025-07-21,S3,Storage,us-west-2,48.07,89.01,97304
INV-9089,2025-07-21,EC2,Compute,ap-south-1,7.01,37.62,91176
INV-6919,2025-07-21,RDS,Networking,us-east-1,5.91,57.87,84593
INV-3488,2025-07-21,EBS,Networking,us-east-1,39.0,46.61,21601
INV-3187,2025-07-21,S3,Networking,ap-south-1,26.05,28.73,24731
INV-7383,2025-07-21,RDS,Networking,ap-south-1,0.33,3.15,23184
INV-9923,2025-07-21,CloudFront,Storage,eu-west-1,47.09,82.28,63246
INV-2599,2025-07-21,RDS,Database,us-east-1,10.32,12.79,83460
INV-8173,2025-07-21,Lambda,Networking,us-east-1,27.95,77.02,35457
INV-7405,2025-07-22,ECS,Networking,us-east-1,10.83,62.33,48518
INV-8593,2025-07-22,ECS,Database,us-east-1,4.32,5.26,80696
INV-1924,2025-07-22,Lambda,Networking,eu-west-1,52.72,54.11,52399
INV-6377,2025-07-22,ECS,Database,eu-west-1,106.42,72.64,81186
INV-9274,2025-07-22,EC2,Compute,eu-west-1,26.79,51.68,83549
INV-5037,2025-07-22,CloudFront,Database,ap-south-1,35.21,79.54,90579
INV-3162,2025-07-22,S3,Compute,ap-south-1,7.2,43.95,53710
INV-4701,2025-07-22,CloudFront,Storage,ap-south-1,3.8,2.63,84998
INV-1690,2025-07-22,EBS,Database,eu-west-1,88.56,83.61,17202
INV-1534,2025-07-22,S3,Networking,us-east-1,12.34,40.95,31022
INV-4015,2025-07-22,ECS,Compute,us-east-1,6.49,15.73,99667
INV-2939,2025-07-22,S3,Storage,ap-south-1,59.71,54.97,41912
INV-3212,2025-07-22,CloudFront,Networking,us-west-2,30.11,66.05,11039
INV-8109,2025-07-22,S3,Compute,eu-west-1,106.94,95.49,34570
INV-2152,2025-07-22,RDS,Networking,us-west-2,51.98,55.48,46820
INV-1178,2025-07-22,EBS,Compute,us-west-2,17.2,42.02,75736
INV-7420,2025-07-22,CloudFront,Networking,ap-south-1,40.97,35.66,35430
INV-3748,2025-07-22,S3,Networking,us-east-1,0.34,1.54,15874
INV-6732,2025-07-22,CloudFront,Database,us-east-1,0.51,4.7,38841
INV-3590,2025-07-22,EBS,Compute,ap-south-1,91.58,85.56,81060
INV-4627,2025-07-22,CloudFront,Database,ap-south-1,9.11,47.47,42949
INV-1319,2025-07-22,ECS,Networking,eu-west-1,36.24,49.21,55344
INV-7852,2025-07-22,Lambda,Networking,eu-west-1,11.82,17.4,42925
INV-1250,2025-07-22,RDS,Networking,us-east-1,37.63,39.91,74831
INV-8270,2025-07-22,Lambda,Database,ap-south-1,7.35,63.55,69684
INV-3928,2025-07-22,CloudFront,Compute,eu-west-1,35.93,37.52,53926
INV-4232,2025-07-22,CloudFront,Storage,eu-west-1,65.06,50.36,43826
INV-1781,2025-07-23,RDS,Database,eu-west-1,18.86,65.9,39175
INV-8587,2025-07-23,CloudFront,Compute,eu-west-1,7.02,7.15,39258
INV-8812,2025-07-23,RDS,Compute,us-east-1,2.47,2.75,38421
INV-4524,2025-07-23,S3,Storage,us-east-1,83.16,94.03,96729
INV-6091,2025-07-23,RDS,Database,us-west-2,38.21,38.88,95853
INV-9850,2025-07-23,S3,Database,us-east-1,38.59,45.88,30695
INV-7348,2025-07-23,ECS,Database,us-east-1,57.42,94.15,10285
INV-5157,2025-07-23,EBS,Storage,us-west-2,130.99,96.12,86029
INV-4577,2025-07-23,Lambda,Storage,eu-west-1,2.96,19.66,95525
INV-8604,2025-07-23,EC2,Compute,us-east-1,0.78,10.17,94377
INV-8849,2025-07-23,EBS,Networking,eu-west-1,9.91,9.53,13320
INV-9693,2025-07-23,EC2,Database,us-west-2,3.7,7.21,47519
INV-3197,2025-07-23,RDS,Database,ap-south-1,7.08,84.5,88197
INV-1656,2025-07-23,EC2,Storage,us-east-1,37.37,81.47,56053
INV-8000,2025-07-23,CloudFront,Storage,ap-south-1,12.62,11.9,42711
INV-1625,2025-07-23,EBS,Networking,us-west-2,83.21,62.93,83116
INV-2563,2025-07-23,EBS,Compute,ap-south-1,89.34,73.53,96900
INV-4278,2025-07-23,S3,Storage,us-east-1,8.69,28.28,54648
INV-7478,2025-07-23,RDS,Networking,eu-west-1,91.6,75.09,90950
INV-9109,2025-07-23,EBS,Storage,us-west-2,64.21,99.05,47650
INV-3457,2025-07-23,CloudFront,Networking,eu-west-1,43.81,37.26,36353
INV-9963,2025-07-23,EBS,Networking,us-east-1,47.8,34.15,94273
INV-8773,2025-07-23,Lambda,Networking,us-west-2,57.7,85.86,97356
INV-8077,2025-07-23,EC2,Networking,eu-west-1,85.93,75.11,17947
INV-6190,2025-07-23,S3,Database,us-west-2,14.13,10.4,35959
INV-6930,2025-07-23,Lambda,Compute,eu-west-1,63.13,50.57,32862
INV-5023,2025-07-23,CloudFront,Storage,ap-south-1,43.25,32.07,65292
INV-7998,2025-07-23,ECS,Compute,eu-west-1,2.56,38.98,30686
INV-4066,2025-07-23,ECS,Networking,eu-west-1,16.51,90.55,17282
INV-4476,2025-07-23,Lambda,Compute,us-east-1,45.68,32.0,93328
INV-5503,2025-07-23,ECS,Networking,us-east-1,83.8,95.07,88154
INV-9429,2025-07-23,RDS,Compute,us-east-1,44.27,63.22,36410
INV-5318,2025-07-23,S3,Networking,eu-west-1,15.48,29.39,22229
INV-2377,2025-07-23,ECS,Networking,ap-south-1,76.76,67.28,17666
INV-9392,2025-07-24,S3,Database,eu-west-1,94.62,79.18,37142
INV-4138,2025-07-24,ECS,Database,us-west-2,7.06,9.21,49270
INV-3309,2025-07-24,EC2,Networking,eu-west-1,4.95,5.85,25212
INV-5165,2025-07-24,S3,Networking,eu-west-1,59.12,44.21,50101
INV-3981,2025-07-24,RDS,Networking,us-east-1,7.73,35.16,49178
INV-7211,2025-07-24,CloudFront,Networking,us-east-1,16.6,14.38,38968
INV-8578,2025-07-24,ECS,Compute,ap-south-1,12.16,61.86,81137
INV-8620,2025-07-24,EBS,Compute,eu-west-1,9.06,8.5,27099
INV-5943,2025-07-24,RDS,Compute,eu-west-1,9.15,7.37,44245
INV-9165,2025-07-24,EBS,Compute,eu-west-1,11.87,70.65,98664
INV-6554,2025-07-24,S3,Networking,eu-west-1,12.7,8.58,46934
INV-3941,2025-07-24,EC2,Storage,us-east-1,22.02,37.49,78512
INV-2924,2025-07-24,EBS,Storage,eu-west-1,115.73,81.3,17034
INV-5828,2025-07-24,ECS,Networking,ap-south-1,112.64,98.6,81082
INV-9665,2025-07-24,ECS,Networking,us-west-2,6.45,37.69,44513
INV-8956,2025-07-24,EBS,Database,us-east-1,66.83,77.74,16969
INV-8306,2025-07-24,CloudFront,Database,us-east-1,57.95,42.48,28161
INV-5208,2025-07-24,S3,Networking,eu-west-1,8.57,11.21,95075
INV-4316,2025-07-24,ECS,Database,us-east-1,0.9,1.23,27340
INV-8167,2025-07-24,RDS,Compute,ap-south-1,1.27,5.72,96163
INV-5774,2025-07-24,RDS,Database,eu-west-1,11.74,11.84,74115
INV-1590,2025-07-24,EC2,Networking,eu-west-1,66.86,74.63,48051
INV-8381,2025-07-24,RDS,Compute,ap-south-1,57.11,96.22,54411
INV-5456,2025-07-24,ECS,Compute,eu-west-1,37.5,28.64,22976
INV-8765,2025-07-24,CloudFront,Database,us-east-1,32.46,22.44,95632
INV-6446,2025-07-24,Lambda,Storage,eu-west-1,1.91,1.31,45447
INV-2661,2025-07-24,CloudFront,Storage,us-west-2,5.92,4.41,45963
INV-1495,2025-07-25,CloudFront,Database,us-east-1,78.69,52.82,34584
INV-4166,2025-07-25,Lambda,Compute,ap-south-1,6.37,7.47,32884
INV-4339,2025-07-25,CloudFront,Database,us-west-2,78.37,96.93,72510
INV-8931,2025-07-25,RDS,Compute,eu-west-1,66.69,62.98,62943
INV-6618,2025-07-25,EBS,Compute,us-east-1,43.69,45.51,21628
INV-4885,2025-07-25,EC2,Storage,us-east-1,79.33,58.47,27710
INV-7869,2025-07-25,RDS,Compute,eu-west-1,2.12,4.64,60029
INV-6552,2025-07-25,ECS,Storage,ap-south-1,127.45,95.05,89713
INV-7574,2025-07-25,EBS,Compute,us-east-1,43.3,45.62,59367
INV-9993,2025-07-25,EBS,Networking,us-east-1,8.98,27.81,39527
INV-9486,2025-07-25,EC2,Compute,us-east-1,26.1,46.42,85800
INV-3755,2025-07-25,ECS,Storage,ap-south-1,9.5,58.41,25110
INV-3668,2025-07-25,CloudFront,Storage,ap-south-1,144.21,97.44,33324
INV-2292,2025-07-25,ECS,Storage,ap-south-1,57.79,69.85,61336
INV-5429,2025-07-25,Lambda,Storage,us-west-2,38.15,31.02,39874
INV-1094,2025-07-25,Lambda,Database,eu-west-1,19.58,68.5,98118
INV-6370,2025-07-25,EBS,Storage,us-east-1,113.21,91.1,12262
INV-8841,2025-07-25,S3,Networking,ap-south-1,104.71,94.99,13161
INV-2401,2025-07-25,Lambda,Networking,us-west-2,40.29,61.38,77521
INV-9675,2025-07-25,Lambda,Networking,us-east-1,121.8,93.28,87105
INV-3669,2025-07-25,EBS,Networking,ap-south-1,0.41,4.62,29152
INV-2674,2025-07-25,ECS,Networking,eu-west-1,46.21,37.71,91570
INV-5616,2025-07-25,Lambda,Networking,ap-south-1,26.47,98.73,20782
INV-3983,2025-07-25,CloudFront,Storage,us-west-2,35.81,59.45,86573
INV-8628,2025-07-25,ECS,Compute,eu-west-1,123.28,96.99,32870
INV-1419,2025-07-25,ECS,Networking,eu-west-1,61.18,83.85,58459
INV-7400,2025-07-25,RDS,Compute,ap-south-1,18.55,41.54,36404
INV-5500,2025-07-25,CloudFront,Compute,us-east-1,7.47,5.73,34393
INV-3128,2025-07-25,S3,Storage,ap-south-1,121.93,81.31,58400
INV-1768,2025-07-25,RDS,Database,us-east-1,85.25,99.66,87750
INV-5581,2025-07-25,ECS,Storage,us-east-1,109.22,76.92,84408
INV-8279,2025-07-25,S3,Networking,eu-west-1,34.73,84.98,73832
INV-6847,2025-07-25,EBS,Compute,us-west-2,10.7,45.11,72162
INV-6988,2025-07-25,Lambda,Database,ap-south-1,88.63,95.41,55810
INV-7397,2025-07-25,Lambda,Compute,ap-south-1,23.49,22.94,69662
INV-1956,2025-07-26,EC2,Storage,us-east-1,35.21,61.85,16518
INV-9905,2025-07-26,CloudFront,Storage,us-west-2,11.71,11.44,16258
INV-5683,2025-07-26,Lambda,Compute,eu-west-1,60.93,52.08,76726
INV-3243,2025-07-26,RDS,Storage,us-east-1,66.93,52.06,50066
INV-9419,2025-07-26,Lambda,Compute,us-east-1,47.69,55.24,54909
INV-7141,2025-07-26,S3,Database,ap-south-1,55.68,87.68,22493
INV-6953,2025-07-26,S3,Networking,ap-south-1,1.24,13.49,59123
INV-8750,2025-07-26,Lambda,Database,us-east-1,71.72,75.54,20616
INV-2316,2025-07-26,ECS,Storage,eu-west-1,25.27,70.44,16882
INV-8367,2025-07-26,S3,Storage,eu-west-1,0.98,13.72,51651
INV-2219,2025-07-26,Lambda,Networking,us-east-1,31.8,35.12,21351
INV-5705,2025-07-26,CloudFront,Networking,us-west-2,26.89,39.29,89787
INV-1776,2025-07-26,ECS,Compute,ap-south-1,50.19,90.43,76008
INV-3348,2025-07-26,EC2,Database,ap-south-1,61.03,51.45,64383
INV-2399,2025-07-26,Lambda,Database,us-east-1,37.8,39.71,72503
INV-4236,2025-07-26,ECS,Storage,ap-south-1,123.06,86.25,67753
INV-1609,2025-07-26,Lambda,Networking,ap-south-1,20.61,14.79,11652
INV-2805,2025-07-26,S3,Compute,eu-west-1,20.91,49.26,82300
INV-3711,2025-07-26,EC2,Networking,us-east-1,67.62,45.97,73623
INV-1367,2025-07-26,RDS,Storage,eu-west-1,25.97,49.31,13615
INV-4870,2025-07-26,EC2,Storage,us-east-1,25.24,63.38,70029
INV-8789,2025-07-26,CloudFront,Database,us-east-1,1.82,7.68,17044
INV-3563,2025-07-26,EC2,Storage,ap-south-1,3.48,12.89,61484
INV-1689,2025-07-26,EC2,Database,eu-west-1,13.68,13.97,80100
INV-4015,2025-07-26,CloudFront,Compute,us-east-1,10.07,18.27,96670
INV-5985,2025-07-26,Lambda,Networking,eu-west-1,66.12,89.69,86559
INV-4928,2025-07-26,EBS,Database,eu-west-1,20.03,66.79,88318
INV-6291,2025-07-26,S3,Database,ap-south-1,2.11,19.31,11910
INV-3654,2025-07-26,S3,Networking,us-east-1,7.71,16.98,46585
INV-7059,2025-07-26,Lambda,Compute,ap-south-1,3.18,17.78,27155
INV-9284,2025-07-26,EBS,Compute,us-west-2,8.73,12.15,17771
INV-3841,2025-07-26,EBS,Database,eu-west-1,11.97,20.71,86493
INV-9793,2025-07-26,EBS,Compute,us-west-2,52.96,50.39,99617
INV-4505,2025-07-26,EBS,Networking,eu-west-1,4.87,4.03,98283
INV-3127,2025-07-26,Lambda,Compute,us-west-2,10.59,62.83,77583
INV-1909,2025-07-26,EC2,Networking,eu-west-1,121.03,87.37,43573
INV-2141,2025-07-26,Lambda,Compute,eu-west-1,2.8,6.2,68234
INV-7606,2025-07-26,CloudFront,Compute,us-east-1,91.52,80.64,74657
INV-9062,2025-07-27,S3,Database,eu-west-1,6.55,18.53,28947
INV-8614,2025-07-27,S3,Database,us-west-2,27.93,37.11,36076
INV-3810,2025-07-27,S3,Networking,eu-west-1,36.18,61.86,23586
INV-6499,2025-07-27,EBS,Storage,us-east-1,52.51,46.31,74415
INV-1447,2025-07-27,S3,Compute,ap-south-1,1.56,3.76,85337
INV-8830,2025-07-27,S3,Storage,eu-west-1,96.2,71.36,88836
INV-4879,2025-07-27,S3,Networking,us-east-1,42.08,51.22,98282
INV-9432,2025-07-27,CloudFront,Storage,us-west-2,7.55,10.81,71145
INV-3656,2025-07-27,CloudFront,Compute,us-east-1,21.41,53.31,52831
INV-7559,2025-07-27,S3,Storage,us-west-2,16.12,27.0,77064
INV-7912,2025-07-27,CloudFront,Networking,us-east-1,1.09,2.11,87450
INV-9823,2025-07-27,S3,Compute,us-east-1,11.14,21.22,23121
INV-3406,2025-07-27,EC2,Networking,ap-south-1,16.18,12.06,86906
INV-7621,2025-07-27,EBS,Storage,eu-west-1,61.46,59.4,77768
INV-3639,2025-07-27,RDS,Compute,us-west-2,61.0,78.94,57073
INV-7085,2025-07-27,RDS,Compute,eu-west-1,7.28,8.78,80556
INV-5860,2025-07-27,S3,Storage,us-west-2,66.42,58.73,51992
INV-2555,2025-07-27,ECS,Storage,eu-west-1,10.16,43.22,67100
INV-9479,2025-07-27,RDS,Storage,us-east-1,16.4,28.45,36641
INV-6401,2025-07-27,ECS,Compute,eu-west-1,56.72,64.63,40920
INV-3685,2025-07-27,Lambda,Storage,us-west-2,52.81,35.67,22760
INV-5911,2025-07-27,EBS,Storage,eu-west-1,23.88,60.62,18979
INV-5752,2025-07-27,ECS,Compute,us-east-1,2.79,10.27,91400
INV-4819,2025-07-27,S3,Storage,eu-west-1,6.98,24.67,29071
INV-7321,2025-07-27,EBS,Storage,ap-south-1,8.68,18.74,24454
INV-9207,2025-07-27,RDS,Networking,ap-south-1,23.52,17.42,90249
INV-9254,2025-07-27,RDS,Storage,us-east-1,6.58,8.12,24942
INV-9494,2025-07-27,EC2,Database,us-east-1,60.6,41.1,62382
INV-2477,2025-07-27,Lambda,Storage,ap-south-1,7.08,11.29,19683
INV-1770,2025-07-27,RDS,Storage,us-west-2,126.52,96.95,41124
INV-2457,2025-07-27,RDS,Database,us-west-2,34.65,81.73,73913
INV-2177,2025-07-27,RDS,Database,us-east-1,17.51,17.17,42984
INV-3320,2025-07-27,RDS,Compute,eu-west-1,79.68,92.94,59522
INV-4551,2025-07-27,S3,Compute,us-west-2,26.08,57.2,88247
INV-9914,2025-07-27,Lambda,Database,us-west-2,24.72,76.97,93970
INV-1090,2025-07-27,EBS,Storage,ap-south-1,21.63,32.44,96828
INV-2432,2025-07-28,Lambda,Storage,ap-south-1,20.4,50.81,35018
INV-8015,2025-07-28,S3,Compute,us-east-1,10.82,11.57,90941
INV-3080,2025-07-28,EBS,Networking,us-east-1,25.83,28.93,48697
INV-8973,2025-07-28,RDS,Networking,ap-south-1,11.6,15.52,87825
INV-3108,2025-07-28,ECS,Storage,eu-west-1,6.67,53.31,70261
INV-1943,2025-07-28,S3,Storage,us-east-1,8.26,33.73,78378
INV-6732,2025-07-28,RDS,Networking,ap-south-1,9.55,6.43,86427
INV-6277,2025-07-28,Lambda,Storage,us-east-1,39.55,32.3,25392
INV-8829,2025-07-28,S3,Networking,ap-south-1,26.52,25.54,54271
INV-6032,2025-07-28,ECS,Database,us-east-1,69.49,76.05,81751
INV-1633,2025-07-28,Lambda,Compute,us-west-2,30.55,47.21,71768
INV-9694,2025-07-28,EC2,Compute,eu-west-1,48.85,34.95,54137
INV-6502,2025-07-28,S3,Database,ap-south-1,120.41,83.08,58977
INV-8537,2025-07-28,S3,Storage,ap-south-1,13.89,12.52,24213
